,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23,comp24
Adolescent fertility rate ,0.6696914073486895,0.6740942665319815,0.7085864070286364,0.7112087587602158,0.711982293116601,0.7119968838682078,0.7554492315897173,0.7581145535961371,0.7836456220891419,0.7836465570756398,0.8025623802759445,0.8289828579452497,0.8379711369018759,0.9016593862699213,0.9389068730102111,0.9568432934042416,0.9978307406892761,0.9979053064988329,0.9994996562323075,0.9999989680300696,0.9999999237376234,1.0000000000000013,1.0000000000000013,1.0000000000000013
Adolescents out of school,0.7353720795137699,0.7418964348138162,0.7470893226814342,0.8064763991629355,0.8065781694073981,0.820995974340991,0.8228674822067159,0.8262282636280456,0.8262559080097349,0.853350535890449,0.8694270765716431,0.8787774683156437,0.8840665414431925,0.891301383522449,0.8919518689007582,0.8920254506108093,0.915768137449631,0.9591145908290403,0.9999572651843397,0.9999936008296219,0.999999963788026,1.0,1.0,1.0
"Children out of school, primary",0.47755037876713025,0.4798246562014088,0.4820316509609364,0.5669185644120986,0.5675798204514153,0.5682031735150471,0.5691790394108778,0.5836747831122459,0.8135619936726122,0.8751121879203723,0.8810605656842375,0.9199724732587762,0.9472571358475291,0.9704129091440185,0.9704130941172404,0.9936625340902991,0.9984461604078723,0.9996167456174562,0.9996936540328906,0.9999980311458289,0.999999994618711,1.0,1.0,1.0
Cost of business start-up procedures,0.22467366785439324,0.23124304514758762,0.48202838151877425,0.6272653294041284,0.6666969467671413,0.6669873677806399,0.6885377989011945,0.7049745555532427,0.7119880710852146,0.838764874292137,0.8466866085139837,0.923793654321601,0.9857234434088981,0.9932171945092918,0.995813783529354,0.9962322626026046,0.9971100532545807,0.9979209742135331,0.9999282700625179,0.9999999279740067,0.9999999822643963,1.000000000000001,1.000000000000001,1.000000000000001
Employment in agriculture ,0.7308022789235167,0.7417648873821565,0.7962658776462118,0.8341086754122542,0.8343758317516567,0.9014622449346033,0.9027545300136998,0.9074371556775732,0.9081514857131568,0.9257655154367975,0.9339114446871486,0.9504458223216686,0.9534348694163347,0.9562237372614422,0.9562899178996229,0.9888877116898454,0.9969832060038669,0.9994551976797436,0.9997486271158944,0.9999970316964439,0.9999999368847784,0.9999999926778477,0.999999999999929,1.0000000000000002
Employment in industry,0.04694957710647857,0.09144924987598577,0.17061654414157093,0.27934755417092727,0.5541638548969419,0.7990881540646257,0.815126740464778,0.9427792285793348,0.9441126006738427,0.9446017769100352,0.9622406597668371,0.964464355070182,0.9730281182289011,0.9759181377445857,0.9759209400635,0.9937354587154182,0.9990381611285979,0.999322552907354,0.9999938464442812,0.9999983218066536,0.999999997767072,0.999999999339638,0.9999999999999958,1.0000000000000022
Employment in services,0.6539472696497344,0.6557397618077717,0.7617177851012082,0.8520660148711289,0.883722637868643,0.8964993494287333,0.9022405109069194,0.9038224466814585,0.9040824266414569,0.9207459114903834,0.9385093695215043,0.959880461175933,0.9606377506134417,0.9620470315340572,0.9621082115945845,0.9827961467459174,0.9959170143856492,0.9990653252580681,0.999717114767732,0.9999981611100821,0.9999999395100457,0.9999999930168829,0.9999999999999326,0.9999999999999999
Firms with female participation in ownership,0.4181437536254895,0.42405402151557364,0.45415659603443964,0.5350822277422311,0.5399149903544063,0.6461271862997924,0.648532664060492,0.7080283902642645,0.7235828205514532,0.7315032712399465,0.9036452417755323,0.9542823770606076,0.9753262451553281,0.9756639814645552,0.9860578895806256,0.996962168967911,0.9999211886501167,0.9999653578146737,0.9999707703633146,0.9999952491340472,0.9999999795384691,1.0000000000000018,1.0000000000000018,1.0000000000000018
Labor force participation rate,0.06474256757962114,0.7522667204680954,0.7536998475022157,0.7587680718521385,0.8062516822639864,0.8159223305696595,0.8958007518601265,0.9097172392406648,0.9115984936074796,0.9161804896181786,0.9183022106035369,0.9224299027355631,0.9225147979689254,0.9331916918587796,0.9502991950898526,0.9624938600962991,0.9818291087599585,0.9833167494632664,0.9857484550312541,0.9999192122564724,0.9999999787103421,1.0000000000000033,1.0000000000000033,1.0000000000000033
Labor force with advanced education,0.0665558811049717,0.197984889675132,0.4253684708013058,0.48327792152670984,0.5002703582761486,0.5901904127448022,0.7488558833172505,0.793462905200659,0.8087697143181369,0.921638654034884,0.9619079060939054,0.9675536736223205,0.9682521521251031,0.9753355669012428,0.9832959508726143,0.9990268535568807,0.9994075069427423,0.9997461168242602,0.9998701763643045,0.9999169530943262,0.9999999849885669,1.0000000000000022,1.0000000000000022,1.0000000000000022
Labor force,0.007134534234664551,0.8689533096870534,0.8768870288960287,0.8828277997595213,0.9161924755573908,0.921911326126017,0.9232002289065732,0.9453000944847685,0.9517111152577241,0.953947983489389,0.9541546284371911,0.9557134016267709,0.955723677636123,0.9601231456452755,0.9621392857701535,0.9666040021172388,0.9666291575818093,0.971020049075851,0.9734977885881884,0.9997358723521133,0.9999999170624263,0.9999999999999981,0.9999999999999981,0.9999999999999981
