,Varianta,Procent varianta,Varianta cumulata,Procent cumulat
comp1,9.78257489463192,40.76072872763296,9.78257489463192,40.76072872763296
comp2,2.708940794901823,11.287253312090918,12.491515689533744,52.04798203972388
comp3,2.0018117394746593,8.340882247811072,14.493327429008403,60.38886428753495
comp4,1.840073859209236,7.666974413371809,16.33340128821764,68.05583870090676
comp5,1.2789443534839275,5.328934806183026,17.612345641701566,73.38477350708979
comp6,1.0157433996557688,4.232264165232365,18.628089041357335,77.61703767232216
comp7,0.9017607064679732,3.757336276949885,19.529849747825306,81.37437394927204
comp8,0.7399333180727914,3.0830554919699606,20.269783065898096,84.457429441242
comp9,0.6274168161656216,2.6142367340234207,20.897199882063717,87.07166617526542
comp10,0.5507386246756397,2.29474426948183,21.447938506739355,89.36641044474725
comp11,0.45739409951888776,1.9058087479953636,21.90533260625824,91.27221919274261
comp12,0.3954311177336343,1.6476296572234748,22.300763723991874,92.91984884996609
comp13,0.3524246387202415,1.4684359946676713,22.653188362712115,94.38828484463376
comp14,0.28801517504894125,1.2000632293705873,22.941203537761055,95.58834807400434
comp15,0.2679257452432614,1.1163572718469215,23.209129283004316,96.70470534585127
comp16,0.24977007110636826,1.0407086296098667,23.458899354110684,97.74541397546113
comp17,0.17759948504694045,0.7399978543622511,23.636498839157625,98.48541182982339
comp18,0.15549124898637828,0.6478802041099089,23.791990088144004,99.1332920339333
comp19,0.13512605338467082,0.5630252224361278,23.927116141528675,99.69631725636943
comp20,0.05350573060845998,0.22294054420191634,23.980621872137135,99.91925780057134
comp21,0.01837610971098772,0.0765671237957821,23.998997981848124,99.99582492436713
comp22,0.0010019994987579906,0.004174997911491623,23.999999981346882,99.99999992227862
comp23,1.4966077126916804e-08,6.235865469548661e-08,23.999999996312958,99.99999998463727
comp24,3.687055337695476e-09,1.5362730573731136e-08,24.000000000000014,100.0
