Country Name,Country Code,Region,Adolescent fertility rate ,Adolescents out of school,"Children out of school, primary",Cost of business start-up procedures,Employment in agriculture ,Employment in industry,Employment in services,Firms with female participation in ownership,Labor force participation rate,Labor force with advanced education,Labor force,Life expectancy at birth,"Literacy rate, adult",Literacy rate youth ,"Population, female ",Prevalence of HIV ,Primary completion rate,Proportion of seats held by women in national parliaments,Self-employed,Start-up procedures to register a business,Time required to start a business,"Unemployment, female",Vulnerable employment,Wage and salaried workers
Aruba,ABW,Latin America & Caribbean,19.6732,5.755290031,705753,30.56060606,7.05149041,11.69852713,81.25180807,41.97058824,52.53513418,75.91955584,41.98765796,78.641,93.89594269,98.78559113,52.55103001,NA,98.29325867,31.66977612,36.53234168,8.043636364,28.0919697,9.543110613,33.80452671,63.4685266
Afghanistan,AFG,South Asia,61.325,15.38963985,7920938,6.8,64.95999908,25.02000046,10.02000046,NA,21.76,30.56999969,21.60739534,66.388,64.64469147,88.12921906,48.66239485,0.1,65.76151276,27.86885246,91.80000305,5,9,13.81,89.47000122,8.210000038
Angola,AGO,Sub-Saharan Africa,145.39,37.68870926,19807892,11.1,56.77999878,0.920000017,42.29999924,55.95,76.11,NA,50.27027561,64.039,58.8786087,73.63633728,50.52747501,1,68.23358154,30,87.31999969,8,36,7.22,84.68000317,12.68000031
Albania,ALB,Europe & Central Asia,19.5028,1.333089948,513874,10.8,41.63000107,16.30999947,42.06000137,20.7,52.47,51.45000076,43.04428204,80.201,97.94228363,99.67472076,49.08610569,0.1,104.5204315,29.50819672,52.13000107,5,4.5,11.31,51.05000114,47.86999893
Andorra,AND,Europe & Central Asia,16.18400554,2.139679909,513874,3.312,6.861719945,13.2434062,79.89597166,37.8,50.57350475,72.68085298,45.297962,81.22851322,97.94228363,99.67472076,51.51342425,NA,98.70014191,46.42857143,13.9490668,5.26,11.762,6.77215351,12.03216161,86.05187916
United Arab Emirates,ARE,Middle East & North Africa,5.2276,12.42323971,1534877,17.2,0.01,5.420000076,94.56999969,NA,52.05,NA,17.47973737,79.314,96.86031342,99.08705902,30.74266421,0.1,112.5617981,50,5.619999886,3,4.5,6.33,3.990000039,94.37999725
Argentina,ARG,Latin America & Caribbean,62.3488,1.253700018,705753,5,0.029999999,9.199999809,90.76999664,41.97058824,51.34,76.26000214,43.2696281,79.995,93.89594269,98.78559113,51.2258022,0.1,98.17658234,40.15748031,23.39999962,12,11.5,10.7,21.01000053,76.59999847
Armenia,ARM,Europe & Central Asia,20.282,9.323829651,6952,0.8,26.88999939,11.39999962,61.70999908,37.8,42.91,69.87999725,44.22542524,78.516,97.94228363,99.67472076,52.96156374,0.1,92.99519348,23.48484848,29.52000046,3,4,20.27,29.20000005,70.48000336
American Samoa,ASM,East Asia & Pacific,20.63766918,8.193099976,3203703,15.76551724,22.06199784,20.43466903,57.4970551,NA,58.83829784,NA,43.34677843,78.88453583,94.17939758,98.71144867,49.32095673,NA,98.52411652,20.50381494,45.15214845,6.233448276,22.89103448,3.433555797,43.85652136,54.8478527
Antigua and Barbuda,ATG,Latin America & Caribbean,40.88,3.276279926,705753,8,7.05149041,11.69852713,81.25180807,41.97058824,52.53513418,75.91955584,41.98765796,78.104,93.89594269,98.78559113,51.75719508,NA,98.29325867,11.11111111,36.53234168,9,19,9.543110613,33.80452671,63.4685266
Australia,AUS,East Asia & Pacific,10.9366,2.19272995,7676,0.7,1.710000038,7.449999809,90.83000183,NA,60.82,NA,46.64160509,85,94.17939758,98.71144867,50.19953419,0.1,98.52411652,30.46357616,12.32999992,3,2,5.11,8.189999774,87.66999817
Austria,AUT,Europe & Central Asia,6.7488,0.451819986,513874,4.7,3.180000067,11.76000023,85.05000305,37.8,55.16,76.68000031,46.41774528,84.2,97.94228363,99.67472076,50.76128618,NA,99.65705872,39.3442623,9.470000267,8,21,4.35,6.929999948,90.52999878
Azerbaijan,AZE,Europe & Central Asia,57.1572,0.298020005,21341,1.2,41.79999924,5.909999847,52.29000092,15.3,63.25,72.68085298,48.63162845,75.455,99.72675323,99.90618896,50.07987385,0.1,100.3731613,16.80672269,72.77999878,3,3.5,5.73,62.29999924,27.21999931
Burundi,BDI,Sub-Saharan Africa,53.9132,31.16090012,55313,12.3,93.66000366,0.910000026,5.429999828,55.95,80.5,NA,51.85764498,63.377,58.8786087,73.63633728,50.40154539,0.6,64.48310852,36.36363636,90.43000031,4,5,0.98,89.7899971,9.569999695
Belgium,BEL,Europe & Central Asia,4.4898,0.169310004,1819,5.3,0.629999995,8.409999847,90.97000122,37.8,48.95,74.27999878,46.22560964,84,97.94228363,99.67472076,50.50422356,NA,98.70014191,42,10.69999981,5,5,4.93,8.629999757,89.30000305
Benin,BEN,Sub-Saharan Africa,81.9768,37.68870926,88277,3.5,29.76000023,16.15999985,54.08000183,55.95,68.75,NA,49.22673988,63.324,58.8786087,73.63633728,50.07897111,0.5,61.15882111,7.228915663,93.84999847,6,9,2.48,93.12000275,6.150000095
Burkina Faso,BFA,Sub-Saharan Africa,99.8026,43.99021912,377174,42.8,21.40999985,25.15999985,53.43000031,55.95,58.49,NA,44.73088218,62.294,58.8786087,73.63633728,50.06356605,0.5,68.26204681,13.38582677,88.69000244,3,13,4.54,88.37999725,11.31000042
Bangladesh,BGD,South Asia,81.6636,15.38963985,7920938,8.7,57.56999969,17.65999985,24.77000046,NA,36.37,30.56999969,30.51465146,74.595,71.94838715,96.08776093,49.41691088,NA,91.14962006,20.63037249,66.01000214,9,19.5,6.55,65.38000107,33.99000168
Bulgaria,BGR,Europe & Central Asia,38.7932,15.18406963,21250,1,4.300000191,22.22999954,73.48000336,41.7,50.41,73.58999634,46.11451216,78.5,97.94228363,99.67472076,51.42861184,NA,84.49420929,25.83333333,8.079999924,7,23,3.87,5.960000157,91.91999817
Bahrain,BHR,Middle East & North Africa,13.11,0.127920002,1654,1,0.039999999,8.569999695,91.38999939,NA,45.31,NA,20.14829967,78.423,72.77185059,87.97827148,35.72872668,0.101104596,97.32035065,15,3.029999971,7,9,4.76,0.789999992,96.98000336
"Bahamas, The",BHS,Latin America & Caribbean,28.4498,5.755290031,705753,11,0.340000004,2.910000086,96.75,41.97058824,70.07,75.91955584,48.21617664,76.081,93.89594269,98.78559113,51.41545524,0.4,98.29325867,12.82051282,6.789999962,7,11.5,10.12,4.210000038,93.20999908
Bosnia and Herzegovina,BIH,Europe & Central Asia,8.656,2.139679909,513874,13.7,20.46999931,16.85000038,62.68000031,24.9,37.44,77.16000366,40.57771006,79.857,97.94228363,99.67472076,51.02090338,NA,98.70014191,21.42857143,25.98999977,13,80,18.73,21.96000004,74.01999664
